브랜드명_제품명,나이아신(비타민B3),비오틴,비타민B12,비타민B2,비타민B6,엽산,이노시톨,콜린,티아민질산염(B1),판토텐산(B5),영양함량,유비퀴논(코엔자임Q10),피페린(바이오페린),PQQ(피롤로퀴놀린퀴논),오메가3(EPA+DHA),L-아르기닌,테아닌,MSM,엠에스엠(옵티MSM),밀크씨슬(실리빈),아티초크추출물,커큐민(메리바),마그네슘,아연,비타민E,밀크씨슬(실리마린),비타민B1,리스펙타 프로바이오틱스,셀레늄(셀렌),콜라겐,히알루론산,비타민C,NAG(N-아세틸글루코사민),비타민D,나트륨,콘드로이친 황산나트륨,탄수화물,녹차추출물(카테킨),비타민A,알로에전잎(무수바바로인),가르시니아캄보지아(HCA),글루코사민염산염,루테인,UREX 프로바이오틱스,쏘팔메토(로르산),옥타코사놀,해조칼슘,루테인지아잔틴,ATPro™,효소,바실러스 서브틸리스,질건강 프로바이오틱스,비타민D3,프리바이오틱스,망간,몰리브덴,비타민K,요오드,프로바이오틱스(유산균),철,감마리놀렌산(GLA),단백질,지방,차전자피식이섬유,민들레추출물,피쉬콜라겐펩타이드,저분자콜라겐펩타이드NS,피리독신염산염(B6),대두레시틴,폴리코사놀,루테인(루테맥스),지아잔틴,만노스,크랜베리,락토페린,매스틱검,구리,비타민B3(나이아신아마이드),비타민E(디알파토코페릴숙시네이트),성분혼합물,시아노코발라민(B12),칼슘,맥주효모,크롬,L-시스틴,PABA(파라아미노벤조산),약용효모,케라틴,커큐민,티아민염산염(B1),레티놀팔미테이트(비타민A),리보플라빈포스페이트(B2),메코발라민(B12),베타카로틴(비타민A),보론,피리독살포스페이트(B6),L-메티오닌,UDCA,오로트산,콜린타르타르산염,타우린,판토텐산칼슘,보라지오일,L-시스테인,히드록소코발라민(B12),감마오리자놀,벤포티아민(B1),비타민E(디엘알파토코페릴아세테이트),비타민C(퀄리?-C),만난올리고당(MOS),사카로미세스 보울라디,진저,커큐민(C3컴플렉스),피페린,모나콜린K(홍국),코엔자임Q10,기타오메가3,저분자콜라겐펩타이드(285달톤),프락토올리고당,콜레스테롤,엽산(쿼트라폴릭),당류,라이코펜,바이오플라보노이드,홍삼(진세노사이드Rg1+Rb1+Rg3),은행잎추출물(터펜락톤),은행잎추출물(플라보놀배당체),파파야추출물,MMSC(메틸메티오닌설포늄염화물),건위제,제산제,알긴산나트륨,칼륨,식이섬유,크레아틴 모노하이드레이트,키토올리고당,셀레늄,마리골드꽃추출물,아피제닌,알파리포산,퀘르세틴,피쉬오일,엘라스틴,피쉬콜라겐,비타민B3(나이아신),포화지방,페리친(철),포도씨추출물,프로폴리스(플라보노이드),프로폴리스,판토텐산(비타민B5),홍경천추출물(로사빈),유비데카레논(코엔자임Q10),비타민K2,실리카,시안코발라민(B12),비타민K1,푸르설티아민(B1),하드록소코발라민(B12),아스타잔틴,메틸엽산,비타민3(나이아신아마이드),레티놀아세테이트(비타민A),셀레노메티오닌,베타알라닌,L-카르니틴타르트레이트,셀러리,바나듐,강황추출물,크립토잔틴,BCAA,비타민(B2),펜토텐산(B5),크롬아미노산킬레이트,콜레우스포스콜리,가르시니아캄보지아추출물,폴레이트(엽산),인,염소(클로라이드),비타민E(디알파토코페릴아세테이트),비타민D2,비타민E(디알파코페릴숙시네이트),비타민B3(나이아신마이드),루틴,태아닌,쏘팔메토,니켈,주석,DHA(오메가3),비타민E(디알파토코페롤),식물스테롤,라인코펜,루테인(플로라지엘오),프로바이오틱스혼합물,과일채소혼합물,식물혼합물,베타인연산염,은행잎추출물,아미노산,DMG(다이메틸글라이신),헤스페리딘,L-타이로신,가시오갈피(엘루테로),효소혼합물,버섯혼합물,오메가369,핀토텐산(B5),비타민E(디알팤페릴아세테이트),L-카르니틴,몰리브덴아미노산킬레이트,글루코사민,보스웰리아,글루코사민황산염,DL-카르니틴염산염,카페인,비타민(나이아신),트랜스지방,타아민질산염(B1),인삼추출물,L-아스파르트산,L-오르니틴,L-시스룰린,피크노제놀(프랑스해안송껍질추출물),아세로라추출물,비타민C(퀄리-C),로즈힙,폴리감마글루탐산,인삼엑스,낙산균,판크레아틴,브로멜라인,양배추추출물,귀리식이섬유,스페인감초추출물,프로파이오틱스(유산균),몰디브덴,유단백가수분해물(알파에스1카제인),비타민E(디엘알파토코페릴숙시네이트),잔티젠,리보플라빈부티레이트(B2),유비데카레논(코엔자임Q),올리브잎추출물,리그난,암라(인디안구스베리),대두이소플라보,드시모네 프로바이오틱스,난소화성말토덱스트린(식이섬유),과채유래유사균,공액리놀레산,시서스추출물,과채유래유산균,L.rhamnosus 열처리배양건조물,스피루리나(엽록소),글루코실세라마이드,글루타치온,나이아신(비타민3),로얄젤리,다시마추출물(켈프),쐐기풀추출물,바나바잎추출물(코로솔산),바이칼린,빌베리추출물,NR(니코틴아미드 리보사이드),트랜스레스베라트롤,아스타잔틴(아스타리프),아스타잔틴(아스타퓨어),빌베리추출물(안토시아노사이드),알파카로틴,사프란추출물,블랙커런트(안토시아닌),셀렌산나트륨,총오메가3,식물추출물,크롬피콜리네이트(피콜린산크롬),아세틸L-카르니틴,베타인염산염,글루탐산염산염,베타글루칸,DMAE),헤스페라딘,홍경청추출물(로사빈),케일
더리틀스_맥스데이 멀티부스터,,300μg,300μg,50mg,50mg,680μgDFE,,,,50mg,,,,,,,,,,,,,100mg,20mg,30mga-TE,,50mg,,200μg,,,300mg,,50μg,,,,,750μgRAE,,,,,,,,,,,,,,,,2mg,100μg,,,,,,,,,,,,,,,,,,,,,0.8mg,,,,,,,200μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mgNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ제일제당_BYO 바이오 식물성 피부 생유산균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100억CFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일동제약_지큐랩 포스트바이오틱스 알에이치티,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자로우포뮬라_히알루론산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔가_히알루론산 120mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432mg,120mg,100mg,,,,192mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴트리원_비비랩 히알루론산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세노비스_피부촉촉 히알루론산 50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남제약_레모나 핑크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120mg,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바이탈뷰티_슈퍼콜라겐 골드,,200μg,,,,,,,,,,,,,,,,,,,,,,,,,,,55μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ제일제당_이너비 아쿠아뱅크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴트리_에버콜라겐 타임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
필리_히알루론산 스피루리나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴트리_에버콜라겐 블랙,,2500μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴트리_에버콜라겐 코큐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90mg,,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에이치마인드_스킨바이오틱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,10억CFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비욘드푸드_콜라겐샷 데이&나잇,,30μg,2.4μg,,1.5mg,400μg,,,,5mg,,,,,,,50mg,,,,,,20mg,10mg,3mga-TE,,,,50μg,6000mg,120mg,200mg,,20μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5mg,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ제일제당_이너비 아쿠아리치 더블업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
더리틀스_콜라겐부스터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔가_여성용 멀티비타민&미네랄(국내),20mgNE,100μg,67μg,16.6mg,16.6mg,267μg,,,,26.6mg,,,,,,,,,,,,,133.3mg,10mg,110mga-TE,,16.6mg,,67μg,,,133.3mg,,3.3μg,,,,,,,,,,,,,,,,,,,,,,16μg,,50μg,,6mg,,,,,,,,,,,,,,,,,500μg,,,,,,,66μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일양약품_일양 밀크시슬칸,,,,,1.5mg,,,,,,,,,,,,,,,,,,,8.5mg,,130mg,1.2mg,,55μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순수식품_종합비타민 미네랄 20,,30μg,2.4μg,1.4mg,1.5mg,400μg,,,,5mg,,,,,,,,,,,,,94.5mg,8.5mg,11mga-TE,,1.2mg,,55μg,,,100mg,,,,,,,700μgRAE,,,,,,,,,,,,,,10μg,,3mg,,70μg,,,12mg,,,,,,,,,,,,,,,,,800μg,,,,,,,30μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15mgNE,,,,,,,,,,,,,,,,,,,,,,,,,,
솔가_남성용 멀티비타민&미네랄(국내),20mgNE,100μg,167μg,16.6mg,25mg,267μg,,,,26.6mg,,,,,,,,,,,,,133.3mg,16.6mg,110.2mga-TE,,16.6mg,,67μg,,,133.3mg,,3.33μg,,,,,,,,,,,,,,,,,,,,,,16.6μg,,50μg,,,,,,,,,,,,,,,,,,,500μg,,,,,,,66.59μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마이프로틴_알파맨 멀티비타민,25mgNE,150μg,125μg,12.5mg,12.5mg,400μg,12.5mg,25mg,,50mg,,,,,,,,,,,,,56.3mg,15mg,12mga-TE,,12.5mg,,80μg,,,80mg,,,,,,,500μgRAE,,,,1.25mg,,,,,,,7.6mg,,,5μg,,1.5mg,25μg,,,,,,,,,,,,,,,,,,,,,250μg,,,,,354mg,,100μg,,,,,,,,,,,500μg,,,,,,,,,,,,,,,,,,,,,2.5mg,,,,,,,,25mg,,,,,,,,,,,,,,,,25.5mg,,,,,,,,6.25mg,,,,,,25μg,,,,,,,,,,,,,,,,,,,,,,,,192.7mg,,,,,,,,,,,,,,,,,,,,20mg,,,,,,,,,,,,,,,,,,,,,50mg,,,,,,,,,,,,12.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,25.5mg,20mg,6.25mg,,,,,,,,,,,,,,,,,,,,,,,
지엔엠_루테인11,15mgNE,,2.4μg,,1.5mg,400μg,,,,,,,,,,,,,,,,,,8.5mg,11mga-TE,,,,55μg,,,,,,,,,,700μgRAE,,,,20mg,,,,,,,,,,,,3mg,,,,,,,,,,,,,,,,,,,,,,800μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
애터미_이너콜라겐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지엔엠_액티브비타민B 컴플렉스,10.5mgNE,300μg,2.4μg,40mg,45mg,400μg,,,,50mg,,,,,,,,,,,,,,9mg,,,50mg,,55μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
닥터아돌_비오틴,,300μg,2.4μg,,,,,,,,,,,,,,,,,,,,,2.55mg,,,,,55μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴트리디데이_프리미엄 비타민B 컴플렉스 골드,15mgNE,30μg,2.4μg,1.4mg,1.5mg,400μg,,,,5mg,,,,,,,,,,,,,,8.5mg,,,1.2mg,,55μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스더포뮬러_닥터에스더 어린콜라겐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴트리디데이_뉴트리디데이 프리미엄 멀티비타민 골드,15mgNE,,2.4μg,1.4mg,1.5mg,,,,,5mg,,,,,,,,,,,,,,8.5mg,11mga-TE,,1.2mg,,55μg,,,100mg,,10μg,,,,,700μgRAE,,,,,,,,,,,,,,,,3mg,,,,,12mg,,,,,,,,,,,,,,,,,800μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종근당건강_올앳미 콜라겐 3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴트리코어_비타민B 컴플렉스,13.5mgNE,127μg,2.6μg,1.35mg,1.85mg,430μg,,,,4.7mg,,,,,,,,,,,,,,8.5mg,,,1.26mg,,86μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바이탈프로틴_콜라겐 샷,,1500μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000mg,60mg,180mg,,,,,4g,,,,,,,,,,,,,,,,,,,,,,,,,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네이처스바운티_헤어 스킨 네일 구미,,2500μg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15mg,,,10mg,,3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7mga-TE,,,,,,,,,,,,,,2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
